dataset,clf,sampler,condition,seed,contam,f1,precision,recall,mcc,roc_auc,pr_auc,error
saudi_attrition,LogReg,none,none,0,,0.782051282051282,0.7770700636942676,0.7870967741935484,0.6137863161512032,0.9067217543302084,0.9034587743007546,
saudi_attrition,DecTree,none,none,0,,0.6962025316455697,0.6832298136645962,0.7096774193548387,0.4566210229967889,0.8001112347052282,0.7627181685589268,
saudi_attrition,5NN,none,none,0,,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.3173367233433974,0.729429524868902,0.6258483734112347,
saudi_attrition,SVM-RBF,none,none,0,,0.7466666666666667,0.7724137931034483,0.7225806451612903,0.5652530056385363,0.8730017479739394,0.8434308544133384,
saudi_attrition,RandForest,none,none,0,,0.7788778877887789,0.7972972972972973,0.7612903225806451,0.6172952509230947,0.8971396790084221,0.8809633127031585,
saudi_attrition,GradBoost,none,none,0,,0.7770700636942676,0.7672955974842768,0.7870967741935484,0.6031462623120768,0.9063403781979978,0.897661067693772,
saudi_attrition,XGBoost,none,none,0,,0.7746031746031746,0.7625,0.7870967741935484,0.597865529067342,0.9016685205784204,0.8932021759788885,
saudi_attrition,LogReg,SMOTE,leaked,0,0.1920529801324503,0.8097560975609757,0.8019323671497585,0.8177339901477833,0.615883121243276,0.90373462107792,0.9158485312650232,
saudi_attrition,LogReg,SMOTE,correct,0,0.1920529801324503,0.7711598746081505,0.75,0.7935483870967742,0.5883056950263592,0.9024312728428412,0.8995482708651923,
saudi_attrition,DecTree,SMOTE,leaked,0,0.1920529801324503,0.731457800511509,0.7606382978723404,0.7044334975369458,0.4840819665930929,0.8129656143075541,0.8210762525031362,
saudi_attrition,DecTree,SMOTE,correct,0,0.1920529801324503,0.7231270358306189,0.7302631578947368,0.7161290322580646,0.5154132261291302,0.8343556332432862,0.7946122136335827,
saudi_attrition,5NN,SMOTE,leaked,0,0.1920529801324503,0.7203791469194313,0.6940639269406392,0.7487684729064039,0.4200258941591786,0.7786527214928778,0.7339341668446197,
saudi_attrition,5NN,SMOTE,correct,0,0.1920529801324503,0.6342857142857142,0.5692307692307692,0.7161290322580646,0.3008101739641522,0.7257587795963769,0.612744727837962,
saudi_attrition,SVM-RBF,SMOTE,leaked,0,0.1920529801324503,0.7660668380462725,0.8010752688172043,0.7339901477832512,0.5536690027569547,0.8735470406949939,0.8706987906410961,
saudi_attrition,SVM-RBF,SMOTE,correct,0,0.1920529801324503,0.7335423197492164,0.7134146341463414,0.7548387096774194,0.5204169750888595,0.8656920387732401,0.8292181927719489,
saudi_attrition,RandForest,SMOTE,leaked,0,0.1920529801324503,0.810126582278481,0.8333333333333334,0.7881773399014779,0.6314696303710867,0.9074474022664952,0.9146685002827591,
saudi_attrition,RandForest,SMOTE,correct,0,0.1920529801324503,0.7737704918032787,0.7866666666666666,0.7612903225806451,0.6062130323986521,0.895455267757826,0.8781417745289546,
saudi_attrition,GradBoost,SMOTE,leaked,0,0.1920529801324503,0.7728459530026109,0.8222222222222222,0.729064039408867,0.5751319800651052,0.8972069208182679,0.9130742024559368,
saudi_attrition,GradBoost,SMOTE,correct,0,0.1920529801324503,0.79375,0.7696969696969697,0.8193548387096774,0.628379665507658,0.912696647068171,0.9049950913700556,
saudi_attrition,XGBoost,SMOTE,leaked,0,0.1920529801324503,0.8110831234256927,0.8298969072164949,0.7931034482758621,0.631162480379487,0.9054332791380524,0.9195337061612476,
saudi_attrition,XGBoost,SMOTE,correct,0,0.1920529801324503,0.759493670886076,0.7453416149068323,0.7741935483870968,0.5699453392760614,0.8983314794215794,0.8913482399424422,
saudi_attrition,LogReg,Borderline,leaked,0,0.1788079470198675,0.7862407862407862,0.7843137254901961,0.7881773399014779,0.571435504852964,0.8978135844111723,0.9072716491269182,
saudi_attrition,LogReg,Borderline,correct,0,0.1788079470198675,0.7777777777777778,0.7455621301775148,0.8129032258064516,0.5965849594370926,0.9038932146829812,0.9024532162399288,
saudi_attrition,DecTree,Borderline,leaked,0,0.1788079470198675,0.72544080604534,0.7422680412371134,0.7093596059113301,0.4635099465286857,0.7898517314178941,0.7671864403867492,
saudi_attrition,DecTree,Borderline,correct,0,0.1788079470198675,0.6923076923076923,0.6878980891719745,0.6967741935483871,0.4547305787772396,0.8165421897346258,0.761761246351569,
saudi_attrition,5NN,Borderline,leaked,0,0.1788079470198675,0.7346938775510204,0.680672268907563,0.7980295566502463,0.430086025808603,0.7665679827222209,0.7065913361340754,
saudi_attrition,5NN,Borderline,correct,0,0.1788079470198675,0.6371191135734072,0.558252427184466,0.7419354838709677,0.294376202833055,0.7238360082631495,0.6210968926784364,
saudi_attrition,SVM-RBF,Borderline,leaked,0,0.1788079470198675,0.8078817733990148,0.8078817733990148,0.8078817733990148,0.6157635467980296,0.8835448567060593,0.8788061655373594,
